Branches,FTR Count,Login Acceptance Stage Query,FTR%
Agra 1,0,0,0.00%
Agra 2,0,0,0.00%
Ahmedabad,0,0,0.00%
Ahmedabad 2,0,0,0.00%
Aligarh,0,0,0.00%
Amravati,0,0,0.00%
Bahadurgarh,0,0,0.00%
Banswara,0,0,0.00%
BARAN,0,0,0.00%
Bareilly,0,0,0.00%
Barwani,0,0,0.00%
Beawar,0,0,0.00%
Bhandara,0,0,0.00%
Bhilwara,0,0,0.00%
Bhiwadi,0,0,0.00%
Bhiwani,0,0,0.00%
Bhopal,0,0,0.00%
Bikaner,0,0,0.00%
Bulandshahr,0,0,0.00%
Bundi,0,0,0.00%
CHHINDWARA,0,0,0.00%
Chittorgarh,0,0,0.00%
Chomu,0,0,0.00%
Dehradun,0,0,0.00%
Delhi 1,0,0,0.00%
Delhi 2,0,0,0.00%
Delhi 3,0,0,0.00%
Dewas,0,0,0.00%
Dhar,0,0,0.00%
Gorakhpur,0,0,0.00%
Gwalior,0,0,0.00%
HANUMANGARH,0,0,0.00%
Haridwar,0,0,0.00%
Himmatnagar,0,0,0.00%
Hisar,0,0,0.00%
Indore 1,0,0,0.00%
Indore 2,0,0,0.00%
Indore 3,0,0,0.00%
Jaipur 1,0,0,0.00%
Jaipur 2,0,0,0.00%
Jhalawar,0,0,0.00%
Jodhpur,0,0,0.00%
Kanpur,0,0,0.00%
Kashipur,0,0,0.00%
Khandwa,0,0,0.00%
Khargone,0,0,0.00%
Kota,0,0,0.00%
Kuchaman City,0,0,0.00%
Lucknow,0,0,0.00%
MANDSAUR,0,0,0.00%
Mathura,0,0,0.00%
Moradabad,0,0,0.00%
Nagpur 1,0,0,0.00%
Narnaul,0,0,0.00%
Noida,0,0,0.00%
Palanpur,0,0,0.00%
Pali,0,0,0.00%
Panipat,0,0,0.00%
Patna,0,0,0.00%
Pithampur,0,0,0.00%
Pune,0,0,0.00%
RAJSAMAND,0,0,0.00%
Ratlam,0,0,0.00%
REWARI,0,0,0.00%
Rohtak,0,0,0.00%
Rudrapur,0,0,0.00%
Saharanpur,0,0,0.00%
Shahpura,0,0,0.00%
Sikar,0,0,0.00%
Sirohi,0,0,0.00%
Udaipur,0,0,0.00%
Ujjain,0,0,0.00%
Varanasi,0,0,0.00%
Vidisha,0,0,0.00%
Yavatmal,0,0,0.00%
Grand Total,0,0,0.00%